SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,5,13,30,N/A,314.16,3.5500000000000003,10,98210,N/A
2011,1,5,14,30,N/A,322.05,3.37,10.97,98220,N/A
2011,1,5,15,30,N/A,336.26,4.43,11.52,98220,N/A
2011,1,5,16,30,N/A,336.24,4.53,11.31,98220,N/A
2011,1,5,17,30,N/A,333.61,4.94,10.97,98240,N/A
2011,1,5,18,30,N/A,330.56,5.12,10.82,98270,N/A
2011,1,5,19,30,N/A,333.22,6.33,10.49,98300,N/A
2011,1,5,20,30,N/A,330.12,6.2,9.66,98320,N/A
2011,1,5,21,30,N/A,331.2,7.1000000000000005,8.93,98340,N/A
2011,1,5,22,30,N/A,336.74,6.79,8.71,98370,N/A
2011,1,5,23,30,N/A,341.5,6.6000000000000005,8.55,98400,N/A
2011,1,6,0,30,N/A,341.06,6.51,7.94,98430,N/A
2011,1,6,1,30,N/A,342.91,6.23,7.55,98460,N/A
2011,1,6,2,30,N/A,345.91,6.2,7.1000000000000005,98490,N/A
2011,1,6,3,30,N/A,344.08,6.7700000000000005,6.7700000000000005,98490,N/A
2011,1,6,4,30,N/A,344.78000000000003,7.83,6.03,98510,N/A
2011,1,6,5,30,N/A,332.59000000000003,6.48,5.18,98530,N/A
2011,1,6,6,30,N/A,333.96,7.8500000000000005,4.55,98540,N/A
2011,1,6,7,30,N/A,337.07,8.22,4.42,98550,N/A
2011,1,6,8,30,N/A,331.64,6.5200000000000005,3.67,98570,N/A
2011,1,6,9,30,N/A,324.74,4.8100000000000005,4.53,98570,N/A
2011,1,6,10,30,N/A,315.73,3.37,6.38,98570,N/A
2011,1,6,11,30,N/A,303.94,3.35,8.45,98530,N/A
2011,1,6,12,30,N/A,295.68,3.92,10.39,98500,N/A
2011,1,6,13,30,N/A,293.98,4.61,12.200000000000001,98460,N/A
2011,1,6,14,30,N/A,294.93,5.44,13.27,98410,N/A
2011,1,6,15,30,N/A,288.7,6.05,13.780000000000001,98350,N/A
2011,1,6,16,30,N/A,283.44,5.8500000000000005,13.89,98300,N/A
2011,1,6,17,30,N/A,276.91,6.7,13.6,98270,N/A
2011,1,6,18,30,N/A,278.94,7.09,13.48,98240,N/A
2011,1,6,19,30,N/A,264.78000000000003,7.53,12.57,98210,N/A
2011,1,6,20,30,N/A,267.9,8.47,12.11,98160,N/A
2011,1,6,21,30,N/A,270.23,8.290000000000001,11.83,98120,N/A
2011,1,6,22,30,N/A,274.61,7.390000000000001,11.31,98090,N/A
2011,1,6,23,30,N/A,275.61,7.5200000000000005,11.290000000000001,98050,N/A
2011,1,7,0,30,N/A,269.38,6.76,10.59,98020,N/A
2011,1,7,1,30,N/A,266.64,6.47,9.61,97990,N/A
2011,1,7,2,30,N/A,266.43,7.0200000000000005,9.41,97970,N/A
2011,1,7,3,30,N/A,270.74,7.33,9.28,97910,N/A
2011,1,7,4,30,N/A,273.92,7.18,9.22,97850,N/A
2011,1,7,5,30,N/A,280.04,7.51,8.92,97820,N/A
2011,1,7,6,30,N/A,281.01,7.13,8.24,97800,N/A
2011,1,7,7,30,N/A,285.52,7.2,8.09,97770,N/A
2011,1,7,8,30,N/A,293.51,6.33,7.29,97780,N/A
2011,1,7,9,30,N/A,312.85,5.49,7.09,97790,N/A
2011,1,7,10,30,N/A,321.53000000000003,4.0600000000000005,8.26,97770,N/A
2011,1,7,11,30,N/A,326.90000000000003,3.95,10.32,97740,N/A
2011,1,7,12,30,N/A,347.47,4.17,12.200000000000001,97710,N/A
2011,1,7,13,30,N/A,356.93,5.04,14.06,97690,N/A
2011,1,7,14,30,N/A,1.62,5.72,15,97690,N/A
2011,1,7,15,30,N/A,4.86,7.12,14.89,97680,N/A
2011,1,7,16,30,N/A,2.37,6.16,14.38,97680,N/A
2011,1,7,17,30,N/A,0.55,8.42,13.97,97720,N/A
2011,1,7,18,30,N/A,356.79,8.01,13.23,97750,N/A
2011,1,7,19,30,N/A,2.47,10.64,12.76,97790,N/A
2011,1,7,20,30,N/A,357.93,10.13,11.59,97830,N/A
2011,1,7,21,30,N/A,9.64,14.41,10.61,97860,N/A
2011,1,7,22,30,N/A,12.950000000000001,12.32,9.28,97910,N/A
2011,1,7,23,30,N/A,22.18,10.57,8.64,97950,N/A
2011,1,8,0,30,N/A,22.92,10.870000000000001,7.640000000000001,97990,N/A
2011,1,8,1,30,N/A,27.740000000000002,10.82,6.76,98040,N/A
2011,1,8,2,30,N/A,26.69,12.07,5.78,98050,N/A
2011,1,8,3,30,N/A,26.82,10.51,4.92,98050,N/A
2011,1,8,4,30,N/A,33.480000000000004,10.67,3.8000000000000003,98060,N/A
2011,1,8,5,30,N/A,39.300000000000004,7.53,3.13,98100,N/A
2011,1,8,6,30,N/A,42.230000000000004,6,2.49,98140,N/A
2011,1,8,7,30,N/A,49.2,7.74,1.8900000000000001,98160,N/A
2011,1,8,8,30,N/A,50.28,6.05,1.46,98180,N/A
2011,1,8,9,30,N/A,47.34,3.7,2.24,98200,N/A
2011,1,8,10,30,N/A,48.160000000000004,2.89,3.48,98200,N/A
2011,1,8,11,30,N/A,45.81,2.87,4.65,98160,N/A
2011,1,8,12,30,N/A,50.26,2.79,5.78,98130,N/A
2011,1,8,13,30,N/A,53.72,3.06,6.82,98080,N/A
2011,1,8,14,30,N/A,65.01,3.5500000000000003,7.59,98040,N/A
2011,1,8,15,30,N/A,69.59,4.05,7.96,97990,N/A
2011,1,8,16,30,N/A,79.3,4.45,7.95,97950,N/A
2011,1,8,17,30,N/A,92.46000000000001,5.59,7.38,97940,N/A
2011,1,8,18,30,N/A,86.97,5.5200000000000005,6.99,97960,N/A
2011,1,8,19,30,N/A,88.49,7.36,6.47,97930,N/A
2011,1,8,20,30,N/A,91.17,6.95,6,97920,N/A
2011,1,8,21,30,N/A,88.51,9.08,5.39,97860,N/A
2011,1,8,22,30,N/A,97.91,8.16,5.17,97850,N/A
2011,1,8,23,30,N/A,112.04,8.4,5.21,97860,N/A
2011,1,9,0,30,N/A,102.83,6.71,5.13,97860,N/A
2011,1,9,1,30,N/A,102.36,7.32,4.93,97870,N/A
2011,1,9,2,30,N/A,107.63,7.03,4.76,97840,N/A
2011,1,9,3,30,N/A,124.02,7.61,4.64,97890,N/A
2011,1,9,4,30,N/A,125.32000000000001,8.58,2.99,97860,N/A
2011,1,9,5,30,N/A,118.13,7.98,2.04,97870,N/A
2011,1,9,6,30,N/A,115.51,6.8500000000000005,1.76,97930,N/A
2011,1,9,7,30,N/A,107.97,8.07,1.61,97910,N/A
2011,1,9,8,30,N/A,96.77,8.47,1.3,97890,N/A
2011,1,9,9,30,N/A,93.07000000000001,8.03,0.96,97950,N/A
2011,1,9,10,30,N/A,88.21000000000001,7.3500000000000005,0.31,97990,N/A
2011,1,9,11,30,N/A,82.59,7.11,-0.05,97950,N/A
2011,1,9,12,30,N/A,86.74,6.74,-0.2,97980,N/A
2011,1,9,13,30,N/A,87.37,6.88,-0.23,97980,N/A
2011,1,9,14,30,N/A,81.27,6.57,-0.5,98000,N/A
2011,1,9,15,30,N/A,74,5.91,-0.75,98030,N/A
2011,1,9,16,30,N/A,75.91,5.55,-1.02,98060,N/A
